u,v,key,osmid,name,highway,oneway,length,geometry_wkt
59045275,10841365568,0,7936209,nan,unclassified,False,44.997450051462934,"LINESTRING (-70.0445849 -15.8186913, -70.0445424 -15.8182887)"
59045275,5587223693,0,376889818,nan,residential,False,57.97042880565478,"LINESTRING (-70.0445849 -15.8186913, -70.0445782 -15.8192126)"
59045275,10844999852,0,389796830,nan,primary,False,47.632664497398416,"LINESTRING (-70.0445849 -15.8186913, -70.0450301 -15.8186964)"
59045275,9450552225,0,389796830,nan,primary,False,367.0354093319314,"LINESTRING (-70.0445849 -15.8186913, -70.0425933 -15.818619, -70.0422379 -15.8186136, -70.0416609 -15.8185908, -70.0411561 -15.8185916)"
255150799,10900991907,0,1173190916,nan,residential,False,82.41518741669049,"LINESTRING (-70.0354472 -15.8153445, -70.035853 -15.8147145)"
255150799,10310388727,0,1042410884,Avenida Juliaca,trunk,False,47.598243843506204,"LINESTRING (-70.0354472 -15.8153445, -70.0353232 -15.8153322, -70.0352313 -15.8153282, -70.0351312 -15.8153356, -70.0350063 -15.8153619)"
255150799,9925121306,0,1042410884,Avenida Juliaca,trunk,False,89.52708714573426,"LINESTRING (-70.0354472 -15.8153445, -70.0358646 -15.8154243, -70.0360008 -15.8154407, -70.0360897 -15.8154384, -70.0361794 -15.8154247, -70.0362701 -15.8154001)"
255150864,2395775284,0,231167008,Jirón Mateo Jaika,residential,False,54.83116311566939,"LINESTRING (-70.0321136 -15.8234726, -70.0318198 -15.8233078, -70.0317947 -15.8233055, -70.0317757 -15.823313, -70.031722 -15.8234234)"
255150864,2395758149,0,1042410884,Avenida Juliaca,trunk,False,93.44660579325753,"LINESTRING (-70.0321136 -15.8234726, -70.0322047 -15.8236238, -70.0323422 -15.823935, -70.0324723 -15.8242376)"
255150864,10310403485,0,1042410884,Avenida Juliaca,trunk,False,31.661384573167062,"LINESTRING (-70.0321136 -15.8234726, -70.0320473 -15.8233609, -70.0320018 -15.8233243, -70.0319185 -15.8232661)"
